# Date:     2016-10-04 23:35:14
# Database: cvs
# Target:   all_t2cep
# Query:    (type='BLHer' or type='RVTau' or type='WVir' or type='pWVir') 
# Objects:  603
# Columns:
ID	Field	StarID	RA	Decl	Type	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-T2CEP-141	LMC172.7	28618	 5:30:23.32	-71:39:00.6	BLHer	17.975	18.757	1.8229539	0.0000049	2166.56437	0.442	0.155	5.668	0.103	2.651
OGLE-LMC-T2CEP-142	LMC166.7	20097	 5:30:34.92	-68:06:15.2	BLHer	17.580	18.458	1.7607534	0.0000085	2167.01120	0.242	0.092	4.715	0.202	2.434
OGLE-LMC-T2CEP-143	LMC168.7	73446	 5:31:09.75	-69:15:48.9	WVir	15.806	16.701	14.5701846	0.0003460	2166.57316	0.871	0.154	0.329	0.065	2.810
OGLE-LMC-T2CEP-144	LMC167.8	59384	 5:31:19.82	-68:51:54.9	BLHer	17.750	18.545	1.9374502	0.0000036	2166.59387	0.474	0.158	5.467	0.105	3.042
OGLE-LMC-T2CEP-145	LMC168.5	70191	 5:31:46.42	-68:58:44.0	BLHer	16.726	17.209	3.3373019	0.0000256	2167.28023	0.170	0.249	4.899	0.046	3.440
OGLE-LMC-T2CEP-146	LMC167.1	26246	 5:31:48.01	-68:49:12.1	WVir	16.392	17.347	10.0795925	0.0003627	2161.81703	0.221	0.146	1.248	0.020	2.203
OGLE-LMC-T2CEP-147	LMC168.6	32838	 5:31:51.00	-69:11:46.3	RVTau	13.678	14.391	46.7958419	0.0328040	2135.14758	0.262	0.029	0.358	0.086	0.021
OGLE-LMC-T2CEP-148	LMC168.8	40656	 5:31:52.26	-69:30:26.4	BLHer	17.442	18.194	2.6717338	0.0000023	453.91138	0.557	0.229	5.519	0.117	4.395
OGLE-LMC-T2CEP-149	LMC169.4	50638	 5:32:54.46	-69:35:13.2	RVTau	14.151	14.868	42.4806129	0.0045115	2149.99673	0.129	0.109	2.532	0.124	1.342
OGLE-LMC-T2CEP-150	LMC171.3	134	 5:33:36.49	-71:00:01.1	WVir	16.154	16.698	5.4930160	0.0003582	2167.00544	0.114	0.031	5.661	0.013	-99.99
OGLE-LMC-T2CEP-151	LMC169.2	39278	 5:34:35.73	-69:59:14.9	WVir	16.479	17.384	7.8872458	0.0001014	455.11756	0.152	0.150	0.450	0.044	1.369
OGLE-LMC-T2CEP-152	LMC169.1	98952	 5:34:37.58	-70:01:08.5	WVir	16.453	17.323	9.3149211	0.0000937	453.02663	0.484	0.149	6.082	0.052	0.744
OGLE-LMC-T2CEP-153	LMC171.2	7699	 5:34:45.04	-71:08:59.9	BLHer	16.550	16.653	1.1751641	0.0000037	2167.73106	0.122	0.314	5.166	0.141	3.529
OGLE-LMC-T2CEP-154	LMC171.3	53717	 5:35:17.89	-70:54:57.2	pWVir	15.288	15.784	7.5778891	0.0001608	2166.60155	0.142	0.159	5.593	0.041	4.695
OGLE-LMC-T2CEP-155	LMC171.4	19217	 5:35:28.78	-70:47:44.1	WVir	16.835	17.702	6.8977377	0.0001856	2164.31419	0.132	0.126	0.219	0.056	1.352
OGLE-LMC-T2CEP-156	LMC171.3	27641	 5:36:01.53	-71:00:11.2	WVir	15.941	17.002	15.3865517	0.0004830	2166.17409	0.871	0.118	0.501	0.066	2.956
OGLE-LMC-T2CEP-157	LMC175.8	52054	 5:36:02.60	-69:27:16.1	WVir	16.045	17.050	14.3346466	0.0003473	2181.19312	0.791	0.137	1.044	0.109	2.153
OGLE-LMC-T2CEP-158	LMC174.5	288	 5:36:08.73	-68:24:00.0	WVir	16.687	17.594	7.1391626	0.0002013	2182.42386	0.123	0.160	0.083	0.000	-99.99
OGLE-LMC-T2CEP-159	LMC175.8	11378	 5:36:42.13	-69:31:11.7	WVir	16.805	17.769	6.6255696	0.0003411	2182.53772	0.070	0.100	6.157	0.000	-99.99
OGLE-LMC-T2CEP-160	LMC178.5	495	 5:37:13.65	-70:50:55.1	BLHer	17.743	18.453	1.7566714	0.0000034	2186.81135	0.551	0.316	4.844	0.209	2.150
OGLE-LMC-T2CEP-161	LMC178.8	34938	 5:37:44.40	-71:11:45.4	WVir	16.042	17.017	8.5323817	0.0002919	2180.25303	0.098	0.134	0.950	0.004	-99.99
OGLE-LMC-T2CEP-162	LMC176.7	71062	 5:37:44.95	-69:54:16.5	RVTau	15.112	16.200	30.3941483	0.0023465	706.20990	0.790	0.160	5.924	0.049	5.695
OGLE-LMC-T2CEP-163	LMC173.1	624	 5:37:53.49	-68:20:54.9	BLHer	17.705	18.306	1.6936066	0.0000039	2187.22106	0.405	0.144	5.205	0.177	2.317
OGLE-LMC-T2CEP-164	LMC177.6	90357	 5:38:04.33	-70:20:29.2	pWVir	15.996	16.933	8.4953214	0.0001010	726.26744	0.216	0.200	5.978	0.079	5.906
OGLE-LMC-T2CEP-165	LMC175.8	33878	 5:38:15.29	-69:28:57.1	BLHer	18.761	19.723	1.2408330	0.0000050	2187.68339	0.633	0.259	4.421	0.114	4.104
OGLE-LMC-T2CEP-166	LMC176.6	66816	 5:38:29.09	-69:45:06.3	BLHer	16.927	17.696	2.1105987	0.0000061	2186.16694	0.267	0.130	5.177	0.118	2.957
OGLE-LMC-T2CEP-167	LMC176.4	273	 5:39:02.56	-69:37:38.5	BLHer	17.781	18.597	2.3118238	0.0000096	2187.14839	0.549	0.207	5.420	0.071	3.792
OGLE-LMC-T2CEP-168	LMC173.1	14300	 5:39:09.06	-68:19:30.0	WVir	15.807	16.766	15.6983850	0.0003450	2174.42738	0.773	0.064	1.567	0.077	2.557
OGLE-LMC-T2CEP-169	LMC179.5	32048	 5:39:32.80	-71:21:54.3	RVTau	14.699	15.651	30.9555642	0.0036413	2173.38838	0.766	0.206	6.004	0.096	5.475
OGLE-LMC-T2CEP-170	LMC174.2	623	 5:39:38.12	-68:48:24.9	WVir	16.703	-99.99	7.6829062	0.0004639	2181.19087	0.156	0.113	0.407	0.069	1.781
OGLE-LMC-T2CEP-171	LMC176.2	592	 5:39:40.96	-69:58:01.3	BLHer	17.824	18.512	1.5547492	0.0000031	726.82805	0.273	0.035	2.635	0.175	1.667
OGLE-LMC-T2CEP-172	LMC177.4	49125	 5:39:44.42	-70:08:21.8	WVir	16.373	17.444	11.2207604	0.0001750	719.99639	0.275	0.116	1.569	0.058	2.207
OGLE-LMC-T2CEP-173	LMC176.2	39112	 5:39:49.93	-69:50:52.9	WVir	18.416	20.149	4.1478811	0.0000272	724.81727	0.554	0.389	5.458	0.162	4.333
OGLE-LMC-T2CEP-174	LMC176.3	38008	 5:40:00.50	-69:42:14.7	RVTau	13.693	14.457	46.8189562	0.0243971	2166.79927	0.275	0.080	6.156	0.042	0.234
OGLE-LMC-T2CEP-175	LMC174.3	20509	 5:40:03.85	-68:33:09.8	WVir	16.388	17.317	9.3256014	0.0002792	2186.79912	0.155	0.142	1.128	0.029	1.451
OGLE-LMC-T2CEP-176	LMC173.3	13562	 5:40:09.87	-68:02:05.7	WVir	16.438	17.332	7.9896001	0.0002311	2187.22582	0.153	0.136	0.642	0.034	0.714
OGLE-LMC-T2CEP-177	LMC175.3	9979	 5:40:36.54	-69:13:04.3	WVir	16.132	17.240	15.0359027	0.0005109	2178.31837	0.772	0.082	1.092	0.095	2.593
OGLE-LMC-T2CEP-178	LMC177.3	39980	 5:42:19.01	-70:24:08.1	WVir	16.326	17.406	12.2123667	0.0005205	726.43160	0.293	0.073	1.820	0.078	1.690
OGLE-LMC-T2CEP-179	LMC184.8	990	 5:43:04.02	-70:01:33.6	WVir	16.744	17.805	8.0500650	0.0002845	2185.44813	0.158	0.140	0.442	0.000	-99.99
OGLE-LMC-T2CEP-180	LMC182.6	23541	 5:43:12.87	-68:33:57.1	RVTau	14.502	15.303	30.9963145	0.0061489	2178.20791	0.461	0.235	5.797	0.089	4.533
OGLE-LMC-T2CEP-181	LMC185.8	44861	 5:43:37.42	-70:38:04.9	pWVir	16.193	16.972	7.2125323	0.0001509	724.38026	0.139	0.046	4.345	0.039	4.965
OGLE-LMC-T2CEP-182	LMC185.8	11623	 5:43:46.89	-70:42:36.5	WVir	16.312	17.265	8.2264194	0.0002145	2188.39082	0.486	0.159	5.777	0.050	5.055
OGLE-LMC-T2CEP-183	LMC184.6	39328	 5:44:32.99	-69:48:21.8	WVir	17.293	18.600	6.5096275	0.0002305	2183.46556	0.120	0.143	6.160	0.005	-99.99
OGLE-LMC-T2CEP-184	LMC184.5	35563	 5:45:00.21	-69:36:21.5	WVir	16.379	17.670	14.8404415	0.0004515	2175.10831	0.613	0.082	2.273	0.086	2.772
OGLE-LMC-T2CEP-185	LMC184.7	43248	 5:45:13.72	-69:51:38.8	WVir	14.534	15.682	12.6884408	0.0004653	2179.36928	0.141	0.175	2.579	0.144	1.887
OGLE-LMC-T2CEP-186	LMC182.1	205	 5:45:15.23	-68:48:52.4	WVir	15.880	16.931	16.3615724	0.0006184	2176.28960	0.803	0.031	1.362	0.066	3.130
OGLE-LMC-T2CEP-187	LMC184.3	452	 5:46:01.76	-69:45:29.6	BLHer	17.683	18.538	2.4044862	0.0000060	2185.87911	0.707	0.362	5.096	0.207	3.515
OGLE-LMC-T2CEP-188	LMC184.2	1570	 5:46:14.49	-69:59:05.9	BLHer	18.007	18.531	1.0493152	0.0000018	2186.97118	0.592	0.343	4.645	0.091	2.551
OGLE-LMC-T2CEP-189	LMC189.8	467	 5:47:40.06	-68:50:11.5	BLHer	18.037	18.680	1.3076475	0.0000033	2186.96771	0.596	0.277	4.554	0.053	4.741
OGLE-LMC-T2CEP-190	LMC190.8	16276	 5:50:20.46	-69:30:54.6	RVTau	14.307	15.147	38.3618714	0.0311398	2159.73671	0.292	0.167	1.229	0.054	5.595
OGLE-LMC-T2CEP-191	LMC191.7	21922	 5:51:22.54	-69:53:51.4	RVTau	14.220	15.017	34.3446694	0.0205833	2185.75958	0.318	0.148	3.775	0.132	2.895
OGLE-LMC-T2CEP-192	LMC192.3	45	 5:53:55.69	-70:17:11.4	RVTau	15.233	16.148	26.1940011	0.0025181	2181.44982	0.790	0.141	6.117	0.054	5.599
OGLE-LMC-T2CEP-193	LMC194.8	5399	 5:55:16.51	-71:50:32.6	WVir	16.582	17.503	7.0049389	0.0002419	2189.68722	0.151	0.145	0.283	0.004	-99.99
OGLE-LMC-T2CEP-194	LMC195.2	499	 5:57:12.03	-72:17:13.3	BLHer	17.874	18.447	1.3144675	0.0000026	2194.11008	0.636	0.298	4.296	0.067	4.528
OGLE-LMC-T2CEP-195	LMC202.7	4975	 6:02:46.27	-72:12:47.0	BLHer	17.342	18.050	2.7529292	0.0000082	2186.99000	0.620	0.255	5.282	0.128	4.083
OGLE-LMC-T2CEP-196	LMC215.6	68	 6:12:24.88	-70:55:24.3	WVir	15.619	16.564	14.9580419	0.0003177	2186.16140	0.900	0.117	0.530	0.067	2.734
OGLE-LMC-T2CEP-197	LMC213.2	3423	 6:14:19.27	-69:50:44.3	BLHer	17.879	18.435	1.2241268	0.0000028	2193.98521	0.561	0.292	4.924	0.174	3.528
OGLE-LMC-T2CEP-198	LMC150.4	35	 4:39:35.27	-69:33:28.9	RVTau	15.271	16.474	38.2740984	0.0081449	2136.63143	0.699	0.113	6.162	0.034	0.322
OGLE-LMC-T2CEP-199	LMC119.5	79718	 5:04:44.83	-68:58:31.8	RVTau	13.658	13.806	37.2035159	0.0067406	716.22207	0.125	0.067	2.897	0.120	5.335
OGLE-LMC-T2CEP-200	LMC111.1	9875	 5:13:56.43	-69:31:58.3	RVTau	15.092	16.124	34.9165547	0.0053034	423.70670	0.334	0.148	5.805	0.063	2.383
OGLE-LMC-T2CEP-201	LMC111.3	36897	 5:15:12.67	-69:13:08.0	pWVir	14.611	15.152	11.0072431	0.0002193	456.11301	0.088	0.074	5.085	0.031	3.114
OGLE-LMC-T2CEP-202	LMC105.4	44835	 5:21:49.09	-70:46:01.4	RVTau	15.167	16.359	38.1355674	0.0039994	812.55923	0.534	0.032	1.926	0.048	2.701
OGLE-LMC-T2CEP-203	LMC162.5	63	 5:22:33.79	-69:38:08.5	RVTau	15.395	16.723	37.1267463	0.0024122	448.74961	0.263	0.308	0.862	0.103	0.542
OGLE-SMC-T2CEP-01	SMC133.6	32	 0:30:02.36	-73:49:07.0	pWVir	14.768	15.303	11.8690178	0.0003296	2088.65297	0.191	0.108	5.411	0.018	5.826
OGLE-SMC-T2CEP-02	SMC131.1	737	 0:34:53.51	-72:58:45.9	BLHer	18.206	18.781	1.3721870	0.0000030	2102.59657	0.514	0.243	4.466	0.074	5.697
OGLE-SMC-T2CEP-03	SMC133.4	9322	 0:37:08.35	-73:43:04.9	WVir	17.572	18.373	4.3598789	0.0000114	627.46722	0.407	0.253	5.763	0.104	5.264
OGLE-SMC-T2CEP-04	SMC125.6	89	 0:38:20.36	-73:17:16.4	WVir	17.093	17.862	6.5333997	0.0001285	624.25665	0.077	0.102	0.185	0.080	6.253
OGLE-SMC-T2CEP-05	SMC128.2	185	 0:42:03.81	-74:01:24.6	WVir	16.990	17.867	8.2058890	0.0001764	2087.54105	0.140	0.148	0.746	0.036	0.596
OGLE-SMC-T2CEP-06	SMC128.4	2107	 0:42:16.01	-73:39:13.5	BLHer	18.536	19.140	1.2356136	0.0000013	625.69012	0.523	0.273	5.123	0.150	3.970
OGLE-SMC-T2CEP-07	SMC125.4	2	 0:42:57.49	-73:07:14.8	RVTau	13.572	14.440	30.9606438	0.0004026	596.44583	0.415	0.121	5.524	0.020	3.670
OGLE-SMC-T2CEP-08	SMC125.2	35239	 0:44:00.77	-73:22:54.4	BLHer	18.025	18.757	1.4897859	0.0000038	624.55707	0.206	0.232	4.572	0.050	2.952
OGLE-SMC-T2CEP-09	SMC126.1	1382	 0:44:12.37	-72:59:28.5	BLHer	17.700	18.480	2.9710719	0.0000057	618.99334	0.356	0.210	5.440	0.123	4.397
OGLE-SMC-T2CEP-10	SMC125.2	13188	 0:44:54.66	-73:28:03.3	pWVir	14.272	14.820	17.4807419	0.0005562	619.79231	0.054	0.065	5.315	0.000	-99.99
OGLE-SMC-T2CEP-11	SMC125.1	37280	 0:45:19.56	-73:30:03.4	pWVir	14.571	14.954	9.9253977	0.0000552	617.95658	0.197	0.274	5.352	0.153	4.325
OGLE-SMC-T2CEP-12	SMC125.2	50773	 0:45:19.69	-73:20:13.7	RVTau	15.415	16.369	29.2189113	0.0039443	608.57963	0.103	0.077	1.840	0.022	4.392
OGLE-SMC-T2CEP-13	SMC126.1	19084	 0:45:41.37	-72:58:35.0	WVir	16.444	17.408	13.8099916	0.0001602	617.96318	0.489	0.116	1.978	0.079	2.634
OGLE-SMC-T2CEP-14	SMC100.8	45191	 0:48:02.83	-73:21:17.7	WVir	16.501	17.516	13.8783799	0.0003583	622.23967	0.456	0.099	1.521	0.073	2.624
OGLE-SMC-T2CEP-15	SMC100.7	58875	 0:49:36.92	-73:10:01.4	BLHer	16.895	17.196	2.5695964	0.0000054	464.73357	0.172	0.187	5.333	0.080	3.686
OGLE-SMC-T2CEP-16	SMC101.1	32853	 0:50:12.58	-72:43:12.4	BLHer	18.013	18.723	2.1131980	0.0000020	464.88124	0.461	0.167	5.564	0.076	3.589
OGLE-SMC-T2CEP-17	SMC102.4	258	 0:50:42.03	-71:39:18.4	BLHer	18.126	18.739	1.2993097	0.0000099	2540.43032	0.320	0.347	4.893	0.074	3.563
OGLE-SMC-T2CEP-18	SMC103.3	16	 0:51:07.23	-73:41:33.4	RVTau	14.813	15.627	39.5193655	0.0057005	2048.45132	0.667	0.169	5.936	0.073	5.861
OGLE-SMC-T2CEP-19	SMC103.3	33136	 0:53:27.69	-73:38:09.5	RVTau	14.481	15.064	40.9118097	0.0059419	2055.86074	0.136	0.110	6.003	0.048	6.017
OGLE-SMC-T2CEP-20	SMC101.2	48106	 0:53:35.98	-72:34:21.8	RVTau	14.894	15.890	50.6231456	0.0069705	439.44469	0.750	0.120	5.789	0.032	5.801
OGLE-SMC-T2CEP-21	SMC105.7	27734	 0:53:49.69	-72:47:37.4	BLHer	18.233	18.999	2.3131264	0.0000203	465.02486	0.097	0.099	0.164	0.000	-99.99
OGLE-SMC-T2CEP-22	SMC107.6	1433	 0:54:46.72	-73:48:32.6	BLHer	18.731	19.480	1.4705261	0.0000067	2085.76244	0.410	0.218	5.098	0.112	0.590
OGLE-SMC-T2CEP-23	SMC106.5	8159	 0:55:01.63	-73:09:47.2	pWVir	15.264	15.990	17.6752925	0.0005561	604.25442	0.121	0.095	4.576	0.000	-99.99
OGLE-SMC-T2CEP-24	SMC106.7	31830	 0:55:20.55	-73:21:37.9	RVTau	14.511	15.308	43.9607975	0.0179727	615.47093	0.154	0.062	0.101	0.127	3.929
OGLE-SMC-T2CEP-25	SMC106.6	34299	 0:55:58.57	-73:12:29.7	pWVir	15.766	16.458	14.1708916	0.0001848	607.92509	0.481	0.235	4.944	0.065	4.436
OGLE-SMC-T2CEP-26	SMC108.7	50479	 0:57:24.86	-72:13:17.8	BLHer	17.794	18.393	1.7048368	0.0000117	2085.92662	0.133	0.119	6.194	0.000	-99.99
OGLE-SMC-T2CEP-27	SMC106.8	38983	 0:57:28.64	-73:31:26.9	BLHer	18.446	19.113	1.5417249	0.0000080	2086.43490	0.291	0.000	-99.99	0.160	1.387
OGLE-SMC-T2CEP-28	SMC106.8	38374	 0:57:31.84	-73:32:11.3	pWVir	15.031	15.907	15.2643255	0.0003658	2093.82590	0.194	0.116	5.775	0.016	4.732
OGLE-SMC-T2CEP-29	SMC108.2	3	 0:57:38.09	-72:18:12.2	RVTau	13.648	14.556	33.6764628	0.0004650	600.72415	0.492	0.168	4.982	0.072	3.447
OGLE-SMC-T2CEP-30	SMC106.5	51449	 0:57:40.76	-73:03:04.9	BLHer	16.836	17.318	3.3889388	0.0000064	620.05824	0.245	0.174	5.259	0.105	3.588
OGLE-SMC-T2CEP-31	SMC109.4	174	 0:58:54.15	-71:22:56.8	WVir	16.929	17.794	7.8953026	0.0004850	2079.41753	0.039	0.000	-99.99	0.000	-99.99
OGLE-SMC-T2CEP-32	SMC106.1	13852	 0:58:58.73	-73:33:45.8	WVir	16.161	16.873	14.2468347	0.0005521	2073.05395	0.604	0.250	6.188	0.064	5.056
OGLE-SMC-T2CEP-33	SMC105.4	24131	 0:59:03.09	-72:28:32.2	BLHer	17.510	18.112	1.8776865	0.0000014	620.56334	0.508	0.461	4.809	0.214	3.278
OGLE-SMC-T2CEP-34	SMC108.2	46300	 1:00:06.44	-72:13:51.7	WVir	15.737	16.672	20.1206110	0.0003603	618.98689	0.792	0.085	0.715	0.040	2.486
OGLE-SMC-T2CEP-35	SMC107.3	8878	 1:00:35.01	-73:46:57.9	WVir	15.894	16.735	17.1814841	0.0001830	2072.74556	0.909	0.173	6.069	0.071	4.216
OGLE-SMC-T2CEP-36	SMC111.5	288	 1:02:40.96	-73:10:02.6	BLHer	17.892	18.454	1.0916592	0.0000017	2104.57149	0.358	0.256	5.311	0.065	4.735
OGLE-SMC-T2CEP-37	SMC112.8	567	 1:03:46.50	-74:07:28.8	BLHer	17.986	18.593	1.5590709	0.0000030	2103.84900	0.496	0.258	4.856	0.088	1.029
OGLE-SMC-T2CEP-38	SMC111.8	5979	 1:04:29.00	-73:33:53.6	pWVir	16.189	16.664	4.4440180	0.0000152	2101.74437	0.237	0.169	5.264	0.113	3.573
OGLE-SMC-T2CEP-39	SMC111.4	165	 1:06:40.91	-73:07:05.0	BLHer	17.798	18.541	1.8875529	0.0000079	625.40072	0.128	0.101	5.350	0.000	-99.99
OGLE-SMC-T2CEP-40	SMC119.8	119	 1:08:46.85	-71:51:09.4	WVir	16.036	16.976	16.1110373	0.0002492	2092.07312	0.873	0.050	0.291	0.053	3.043
OGLE-SMC-T2CEP-41	SMC116.6	11058	 1:13:19.05	-73:18:07.8	RVTau	15.353	16.068	29.1184308	0.0069526	2089.43875	0.152	0.068	0.864	0.105	5.159
OGLE-SMC-T2CEP-42	SMC123.3	2298	 1:23:26.69	-72:00:24.3	BLHer	18.246	18.860	1.4874289	0.0000032	2090.49055	0.562	0.260	4.646	0.101	0.284
OGLE-SMC-T2CEP-43	SMC123.2	2021	 1:23:53.06	-72:16:45.9	RVTau	15.398	16.342	23.7429305	0.0010767	2068.62766	0.890	0.111	5.736	0.030	4.439
OGLE-BLG-T2CEP-001	BLG366.5	86766	 17:05:20.35	-32:28:17.6	BLHer	14.176	15.759	3.9983508	0.0000897	5000.43606	0.595	0.265	5.672	0.140	5.349
OGLE-BLG-T2CEP-002	BLG366.8	22036	 17:06:15.00	-33:01:27.6	BLHer	13.909	15.188	2.2684194	0.0000223	5000.92368	0.215	0.127	4.582	0.107	2.974
OGLE-BLG-T2CEP-003	BLG332.6	61794	 17:08:40.14	-32:54:10.4	BLHer	15.061	16.519	1.4844493	0.0000087	5000.26169	0.656	0.374	4.368	0.017	3.226
OGLE-BLG-T2CEP-004	BLG360.7	43390	 17:13:10.84	-29:05:45.3	BLHer	14.856	16.404	1.2118999	0.0000096	5001.08753	0.238	0.216	5.457	0.000	-99.99
OGLE-BLG-T2CEP-005	BLG364.1	38522	 17:13:57.04	-32:15:36.0	BLHer	16.842	18.666	2.0075505	0.0000144	5000.64948	0.442	0.167	5.532	0.073	3.000
OGLE-BLG-T2CEP-006	BLG360.4	41373	 17:14:25.42	-28:46:46.6	WVir	13.344	14.853	7.6379292	0.0003821	5001.35329	0.599	0.076	4.882	0.070	2.064
OGLE-BLG-T2CEP-007	BLG331.5	150614	 17:23:54.79	-29:02:37.8	BLHer	15.488	17.468	1.8173297	0.0000105	5000.07884	0.564	0.341	4.797	0.215	2.177
OGLE-BLG-T2CEP-008	BLG356.8	134613	 17:24:20.93	-27:55:49.2	BLHer	15.970	17.765	1.1829551	0.0000098	5000.11156	0.293	0.287	5.208	0.041	4.329
OGLE-BLG-T2CEP-009	BLG331.7	28689	 17:24:22.29	-29:27:35.5	BLHer	15.608	17.630	1.8960106	0.0000093	5000.55534	0.360	0.097	5.046	0.154	2.649
OGLE-BLG-T2CEP-010	BLG355.1	128586	 17:27:05.54	-25:36:01.6	BLHer	14.973	16.718	1.9146495	0.0000082	5000.89355	0.404	0.136	5.343	0.120	2.732
OGLE-BLG-T2CEP-011	BLG355.1	98281	 17:27:17.67	-25:38:23.6	WVir	13.413	15.379	15.3886022	0.0017974	5002.66284	0.664	0.100	1.876	0.092	2.493
OGLE-BLG-T2CEP-012	BLG200.3	35130	 17:27:24.14	-39:51:30.8	BLHer	14.533	15.968	1.4769841	0.0000029	5000.23740	0.382	0.117	5.128	0.208	1.292
OGLE-BLG-T2CEP-013	BLG330.6	87273	 17:27:58.76	-29:26:02.1	BLHer	16.193	18.525	1.5170484	0.0000080	5000.10583	0.620	0.219	5.149	0.180	2.416
OGLE-BLG-T2CEP-014	BLG330.3	41707	 17:29:19.97	-29:27:55.5	BLHer	13.590	15.376	1.2387595	0.0000038	5000.83094	0.526	0.274	4.578	0.109	0.705
OGLE-BLG-T2CEP-015	BLG333.6	46451	 17:34:28.10	-27:06:18.9	BLHer	15.907	18.087	1.2793718	0.0000065	5000.89165	0.177	0.175	5.521	0.000	-99.99
OGLE-BLG-T2CEP-016	BLG333.7	55533	 17:35:02.05	-27:14:50.8	BLHer	15.689	18.157	1.9182290	0.0000011	5000.03593	0.380	0.125	5.372	0.127	2.820
OGLE-BLG-T2CEP-017		0	 17:35:08.13	-27:31:25.7	BLHer	16.251	18.533	1.0977615	0.0000013	5000.18774	0.535	0.327	4.689	0.125	2.818
OGLE-BLG-T2CEP-018	BLG333.6	120692	 17:35:13.78	-27:03:17.1	BLHer	15.990	18.072	1.6199515	0.0000006	5001.12107	0.671	0.216	5.268	0.150	2.660
OGLE-BLG-T2CEP-019		0	 17:35:26.96	-27:34:53.3	RVTau	13.257	16.042	34.9428597	0.0120025	5018.13534	0.692	0.201	5.937	0.118	5.471
OGLE-BLG-T2CEP-020	BLG333.5	113102	 17:35:29.13	-26:55:53.2	BLHer	15.774	17.966	1.6604717	0.0000007	5000.94199	0.569	0.334	4.707	0.122	1.388
OGLE-BLG-T2CEP-021	BLG336.7	70921	 17:35:54.94	-22:34:26.9	BLHer	14.123	15.862	3.4252566	0.0000529	5003.25314	0.586	0.258	5.115	0.108	3.548
OGLE-BLG-T2CEP-022	BLG333.4	97615	 17:36:09.79	-26:54:59.2	BLHer	16.379	18.621	1.0485409	0.0000071	5000.32438	0.120	0.177	5.527	0.000	-99.99
OGLE-BLG-T2CEP-023	BLG333.2	31353	 17:36:34.02	-27:18:08.6	WVir	13.604	16.156	14.8909306	0.0003237	5001.97722	0.857	0.111	0.464	0.063	2.884
OGLE-BLG-T2CEP-024	BLG333.2	126643	 17:36:47.43	-27:13:06.8	RVTau	13.612	16.584	40.2275107	0.0210696	5037.50773	0.817	0.109	6.217	0.015	4.994
OGLE-BLG-T2CEP-025	BLG336.3	114175	 17:37:43.23	-22:22:09.5	WVir	13.708	15.850	10.1419745	0.0010317	5009.36317	0.228	0.154	1.292	0.039	2.226
OGLE-BLG-T2CEP-026	BLG352.8	63914	 17:38:07.53	-21:17:32.0	BLHer	16.858	19.237	2.3446069	0.0000367	5001.79609	0.472	0.238	5.684	0.053	5.643
OGLE-BLG-T2CEP-027	BLG352.3	83929	 17:39:53.36	-20:59:34.7	WVir	13.467	15.486	15.4692153	0.0031659	5015.27136	0.672	0.083	2.131	0.057	2.381
OGLE-BLG-T2CEP-028	BLG334.7	95192	 17:40:50.75	-25:03:53.4	WVir	16.827	19.092	11.3828397	0.0007437	5005.31567	0.794	0.176	2.075	0.048	2.373
OGLE-BLG-T2CEP-029	BLG338.8	133156	 17:41:22.18	-22:40:33.3	BLHer	15.238	16.794	1.4976008	0.0000114	5000.84752	0.427	0.331	5.161	0.070	4.129
OGLE-BLG-T2CEP-030	BLG344.6	96995	 17:42:38.03	-23:35:57.8	BLHer	15.724	17.723	1.1714396	0.0000030	5000.33944	0.587	0.276	4.673	0.129	0.276
OGLE-BLG-T2CEP-031	BLG351.7	0	 17:42:51.34	-21:30:11.6	WVir	11.619	13.518	14.8296445	0.0068725	5009.43284	1.033	0.428	5.697	0.040	3.777
OGLE-BLG-T2CEP-032	BLG344.5	114696	 17:43:08.19	-23:26:58.0	WVir	13.130	15.387	16.3054759	0.0006753	5010.41219	0.823	0.038	6.192	0.061	3.177
OGLE-BLG-T2CEP-033	BLG346.3	38827	 17:43:11.27	-24:14:24.4	WVir	14.164	16.355	7.0342122	0.0001712	5000.89799	0.239	0.193	0.025	0.050	0.639
OGLE-BLG-T2CEP-034	BLG129.6	129970	 17:43:42.84	-34:07:05.2	RVTau	13.688	16.298	22.4527572	0.0018048	5020.37633	0.965	0.175	6.182	0.030	5.141
OGLE-BLG-T2CEP-035	BLG344.1	54779	 17:43:43.62	-23:56:30.3	BLHer	15.093	17.000	1.9306769	0.0000066	5001.26954	0.578	0.168	5.099	0.089	2.646
OGLE-BLG-T2CEP-036	BLG344.1	18386	 17:44:02.25	-23:58:25.2	BLHer	14.830	16.920	3.6959064	0.0000171	5001.02517	0.492	0.218	4.938	0.083	3.211
OGLE-BLG-T2CEP-037	BLG138.8	49375	 17:44:09.10	-33:52:31.0	BLHer	15.782	17.904	1.3788787	0.0000010	5000.73269	0.415	0.316	5.386	0.074	4.076
OGLE-BLG-T2CEP-038	BLG138.5	48619	 17:44:11.80	-33:23:30.6	WVir	14.146	16.981	15.1976862	0.0002748	5012.41575	0.724	0.055	1.736	0.077	2.749
OGLE-BLG-T2CEP-039	BLG129.3	61924	 17:44:12.88	-34:09:42.9	BLHer	14.796	16.889	2.7553281	0.0000017	5000.73035	0.614	0.297	5.222	0.157	3.914
